시도명,시군명,코드,최근1개월강수량(mm),최근1개월평년강수량(mm),최근1개월평년비(%),최근1개월부족량(mm),금년강수량(mm),금년평년강수량(mm),금년평년비(%),금년부족량(mm),최근1년강수량(mm),최근1년평년강수량(mm),최근1년평년비(%),최근1년부족량(mm),홍수기이후강수량(mm),홍수기이후평년강수량(mm),홍수기이후평년비(%),홍수기이후부족량(mm)
강원도,태백시,42190,170.2,273.953034353522,62.1274374279666,103.753034353522,478.9,682.111311264752,70.2084824120621,203.211311264752,1040.5,1262.32390417159,82.4273387013802,221.823904171588,601.8,807.190539641953,74.5548876560101,205.390539641953
강원도,속초시,42210,260.4,319.198866522101,81.5792370559593,58.7988665221012,781.8,768.645188076845,101.711428384281,-,1558,1558.0460472024,99.9970445544611,0.0460472023955845,1071.8,986.140598089193,108.686327494962,-
강원도,삼척시,42230,129.7,239.260085907872,54.2087910350168,109.560085907872,424.5,627.8513529319,67.6115449967093,203.3513529319,1155.6,1225.94317591559,94.2621177475817,70.3431759155935,629.5,771.978088893742,81.543765173709,142.478088893742
강원도,홍천군,42720,230.6,376.79671227291,61.2001093663946,146.19671227291,611.4,751.065768390874,81.4043224616532,139.665768390874,1000.6,1301.83452720195,76.8607667942718,301.234527201948,719.6,863.849799758089,83.3015184122883,144.249799758089
강원도,횡성군,42730,272.2,378.237825380111,71.9653037679274,106.037825380111,617.8,764.751757816539,80.7843844339627,146.951757816539,1045.3,1308.7400868047,79.8707100469514,263.440086804697,727.4,871.779331884783,83.4385461315497,144.379331884783
강원도,영월군,42750,231.9,304.525284207272,76.1513122313218,72.6252842072722,491,665.175840065557,73.8150682008549,174.175840065557,931.4,1161.1356400041,80.2145733806524,229.735640004104,584.2,760.998750856716,76.7675373109772,176.798750856716
강원도,평창군,42760,237.5,340.319642973982,69.7873322634384,102.819642973982,550.1,747.054162153673,73.6358925320921,196.954162153673,972.8,1289.04840654784,75.4665220529016,316.248406547837,648.2,861.156098387916,75.2709063099513,212.956098387916
강원도,정선군,42770,213.6,284.229701534709,75.1504852753454,70.6297015347094,478,649.486090491798,73.5966492581933,171.486090491798,932.7,1160.64221404437,80.3606821046008,227.942214044374,571.1,753.293530457319,75.8137401834965,182.193530457319
강원도,철원군,42780,268.8,385.112273133651,69.7978274784078,116.312273133651,733,772.477514850934,94.8894933390323,39.4775148509344,1248.2,1347.30984520967,92.6438713736075,99.1098452096733,967.4,896.355892674905,107.925881662147,-
강원도,화천군,42790,204.2,360.78055272924,56.5995030650249,156.58055272924,686.6,711.586698662152,96.4885939114475,24.9866986621525,1105.4,1251.85431457458,88.3010097205799,146.454314574582,847.1,822.15935732044,103.033553344311,-
강원도,양구군,42800,173.9,330.374984857069,52.6371571610468,156.474984857069,577.8,656.236394315627,88.0475397288159,78.4363943156266,962.2,1162.25998637323,82.7869849501136,200.059986373232,741.6,754.534647293063,98.285745082818,12.934647293063
강원도,인제군,42810,210.9,330.008217196463,63.9074995743046,119.108217196463,586.9,697.351083078835,84.1613377022103,110.451083078835,1049.2,1257.45578024865,83.438321766872,208.255780248651,740.1,813.139601183417,91.0175815964298,73.0396011834166
강원도,고성군,42820,244.1,302.797271371265,80.6149932905784,58.6972713712651,795.9,702.825803900761,113.242854144322,-,1626.5,1390.93230895537,116.935956518369,-,1112,881.0736694945,126.209650622971,-
강원도,양양군,42830,229.3,315.408197922857,72.6994420278455,86.1081979228573,616.4,741.340166277865,83.1467156426763,124.940166277865,1222.3,1427.10101579908,85.6491577308275,204.801015799085,793.7,909.871140362551,87.2321326384458,116.171140362551
충청북도,청주시,43110,142.8,287.605966136765,49.6512648600948,144.805966136765,403.4,675.071011373778,59.7566764389832,271.671011373778,902.8,1210.54902782049,74.5777311989937,307.749027820494,495,799.666618103673,61.9007957558416,304.666618103673
충청북도,충주시,43130,295,309.768376961167,95.2324452527901,14.7683769611673,633,682.431257930565,92.7565952825106,49.4312579305647,1139.1,1207.28656170091,94.3520814474368,68.186561700908,725,794.064709682513,91.3023826848914,69.0647096825127
충청북도,제천시,43150,303.3,316.887468467137,95.7122102262792,13.5874684671367,621.5,692.882137598907,89.6977950901905,71.3821375989074,1114,1215.59841253649,91.6421071721793,101.598412536489,717.6,801.558720095493,89.5255683718979,83.9587200954927
충청북도,보은군,43720,166.4,285.422375534985,58.299563826454,119.022375534985,400.1,684.576560277455,58.4448874261546,284.476560277455,887,1201.78858970945,73.8066584751352,314.788589709454,487.2,806.22025533244,60.4301364022547,319.02025533244
충청북도,옥천군,43730,158.8,281.191012853559,56.4740666454731,122.391012853559,387,678.953608510125,56.9994761275694,291.953608510125,894,1193.34861860586,74.9152415364105,299.348618605863,471.6,800.016077461873,58.9488153158366,328.416077461873
충청북도,영동군,43740,171.6,257.416997353216,66.6622646384683,85.8169973532164,373.6,635.542381916347,58.7844352525297,261.942381916347,920.7,1134.15006599498,81.1797334061147,213.450065994981,457.4,752.968834474857,60.7462060921824,295.568834474857
충청북도,증평군,43745,165.3,298.197828495295,55.4329992388284,132.897828495295,482.1,685.223517738522,70.3566044538429,203.123517738522,1032.6,1220.80614813256,84.5834534483257,188.206148132558,573.5,806.714612093546,71.0908159344829,233.214612093546
충청북도,진천군,43750,135.9,297.250422762445,45.7190266500001,161.350422762445,473.2,676.941313850921,69.9026622127852,203.741313850921,1002.7,1226.19270172857,81.7734438140503,223.492701728574,578.1,799.819797419999,72.2787810285259,221.719797419999
충청북도,괴산군,43760,206.9,299.47688355923,69.0871353878904,92.5768835592299,489.5,678.849678747966,72.1072743089173,189.349678747966,1042.7,1203.72544418761,86.6227431707828,161.025444187613,590.9,798.488573871475,74.0023112835565,207.588573871475
충청북도,음성군,43770,195.5,309.516105593201,63.1631105674826,114.016105593201,544.3,679.226896509459,80.1352247381771,134.926896509459,1035.8,1212.19975711043,85.4479630048004,176.399757110429,646.8,793.558658325373,81.5062621035382,146.758658325373
충청북도,단양군,43800,210.3,275.440338546925,76.3504725231713,65.1403385469251,432,632.328202278337,68.3189518423288,200.328202278336,919.4,1122.95500297317,81.8732716418531,203.555002973166,524.8,729.293710328055,71.9600337378382,204.493710328055
충청남도,천안시,44130,127.9,275.882131201783,46.3603784133641,147.982131201783,371.2,630.892707972925,58.8372627086903,259.692707972925,913.6,1193.20878415684,76.5666505418478,279.608784156841,495.4,757.347985631946,65.412466844634,261.947985631946
