시점,관측지점별,평균기온 (℃),대분류
2004,의성,11.8,경상북도
2004,구미,13.6,경상북도
2004,영천,13.2,경상북도
2004,거창,12.3,경상남도
2004,합천,14,경상남도
2004,밀양,14.4,경상남도
2004,산청,13.3,경상남도
2004,거제,14.6,경상남도
2004,남해,15.2,경상남도
2005,속초,12,강원도
2005,철원,9.3,강원도
2005,동두천,10.3,경기도
2005,파주,10.3,경기도
2005,대관령,6.6,강원도
2005,춘천,11,강원도
2005,백령도,10.8,인천광역시
2005,강릉,12.9,강원도
2005,동해,12.1,강원도
2005,서울,12.1,서울특별시
2005,인천,12,인천광역시
2005,원주,11.5,경상북도
2005,울릉도,12.2,경상북도
2005,수원,12,경기도
2005,영월,10.4,강원도
2005,충주,11.2,충청북도
2005,서산,11.5,충청남도
2005,울진,12.4,경상북도
2005,청주,12.5,충청북도
2005,대전,12.4,대전광역시
2005,추풍령,11.4,충청북도
2005,안동,11.3,경상북도
2005,상주,12.2,경상북도
2005,포항,14,경상북도
2005,군산,12.5,전라북도
2005,대구,14.2,대구광역시
2005,전주,13.3,전라북도
2005,울산,14.3,울산광역시
2005,창원,14,경상남도
2005,광주,13.6,광주광역시
2005,부산,13.8,부산광역시
2005,통영,13.7,경상남도
2005,목포,13.5,전라남도
2005,여수,13.7,전라남도
2005,흑산도,12.8,전라남도
2005,완도,13.9,전라남도
2005,진도(첨찰산),11.2,전라남도
2005,제주,16.2,제주도
2005,고산,15.4,제주도
2005,성산,15.3,제주도
2005,서귀포,16.2,제주도
2005,진주,13.3,경상남도
2005,강화,10.7,인천광역시
2005,양평,11.3,경기도
2005,이천,11.6,경기도
2005,인제,10,강원도
2005,홍천,10.3,강원도
2005,태백,8.6,강원도
2005,제천,10.1,충청북도
2005,보은,10.7,충청북도
2005,천안,11.8,충청남도
2005,보령,12.2,충청남도
2005,부여,11.9,충청남도
2005,금산,11.5,충청남도
2005,부안,12.2,전라북도
2005,임실,10.9,전라북도
2005,정읍,12.8,전라북도
2005,남원,12,전라북도
2005,장수,10.2,전라북도
2005,장흥,12.8,전라남도
2005,해남,13.3,전라남도
2005,고흥,13.2,전라남도
2005,봉화,9.4,경상북도
2005,영주,11.4,경상북도
2005,문경,11.1,경상북도
2005,영덕,12.6,경상북도
2005,의성,11.1,경상북도
2005,구미,12.6,경상북도
2005,영천,12.5,경상북도
2005,거창,12.2,경상남도
2005,합천,13.5,경상남도
2005,밀양,13.2,경상남도
2005,산청,12.6,경상남도
2005,거제,14.1,경상남도
2005,남해,13.6,경상남도
2006,속초,11.9,강원도
2006,철원,10.4,강원도
2006,동두천,11.2,경기도
2006,파주,11.3,경기도
2006,대관령,6.9,강원도
2006,춘천,11.5,강원도
2006,백령도,11.2,인천광역시
2006,강릉,13.1,강원도
2006,동해,12.4,강원도
2006,서울,13,서울특별시
2006,인천,12.7,인천광역시
2006,원주,12.2,경상북도
2006,울릉도,12.2,경상북도
2006,수원,12.9,경기도
2006,영월,11.2,강원도
2006,충주,11.5,충청북도
2006,서산,12.2,충청남도
2006,울진,12.7,경상북도
2006,청주,13.3,충청북도
2006,대전,13.1,대전광역시
2006,추풍령,11.6,충청북도
2006,안동,12.1,경상북도
2006,상주,12.6,경상북도
2006,포항,14.4,경상북도
2006,군산,13.4,전라북도
2006,대구,14.6,대구광역시
2006,전주,14.1,전라북도
2006,울산,14.6,울산광역시
2006,창원,14.5,경상남도
2006,광주,14.2,광주광역시
2006,부산,14.7,부산광역시
2006,통영,14.6,경상남도
2006,목포,14.1,전라남도
2006,여수,14.3,전라남도
2006,흑산도,13.2,전라남도
2006,완도,14.1,전라남도
2006,진도(첨찰산),11.9,전라남도
2006,제주,16.2,제주도
2006,고산,15.5,제주도
2006,성산,15.7,제주도
2006,서귀포,17.1,제주도
2006,진주,13.6,경상남도
2006,강화,11.4,인천광역시
2006,양평,12.3,경기도
2006,이천,12.2,경기도
2006,인제,10.6,강원도
2006,홍천,11.1,강원도
2006,태백,8.9,강원도
2006,제천,11.1,충청북도
2006,보은,11.6,충청북도
2006,천안,11.5,충청남도
2006,보령,12.8,충청남도
2006,부여,12.8,충청남도
2006,금산,12.1,충청남도
2006,부안,13.6,전라북도
2006,임실,11.4,전라북도
2006,정읍,13.3,전라북도
2006,남원,12.8,전라북도
2006,장수,10.8,전라북도
2006,장흥,13.2,전라남도
2006,해남,13.3,전라남도
2006,고흥,13.8,전라남도
2006,봉화,10,경상북도
2006,영주,11.9,경상북도
2006,문경,11.6,경상북도
2006,영덕,13.2,경상북도
2006,의성,11.9,경상북도
2006,구미,13,경상북도
2006,영천,12.7,경상북도
2006,거창,12.6,경상남도
2006,합천,13.8,경상남도
2006,밀양,13.1,경상남도
2006,산청,13.4,경상남도
2006,거제,14.3,경상남도
2006,남해,13.9,경상남도
2007,속초,13,강원도
2007,철원,10.7,강원도
2007,동두천,11.5,경기도
2007,파주,11.3,경기도
2007,대관령,7.6,강원도
2007,춘천,11.7,강원도
2007,백령도,11.6,인천광역시
2007,강릉,13.9,강원도
2007,동해,13.3,강원도
2007,서울,13.3,서울특별시
2007,인천,12.9,인천광역시
2007,원주,12.4,경상북도
2007,울릉도,13.4,경상북도
2007,수원,12.9,경기도
2007,영월,11.5,강원도
2007,충주,12.1,충청북도
2007,서산,12.4,충청남도
2007,울진,13.7,경상북도
2007,청주,13.7,충청북도
2007,대전,13.3,대전광역시
2007,추풍령,11.8,충청북도
2007,안동,12.6,경상북도
2007,상주,12.7,경상북도
2007,포항,14.7,경상북도
2007,군산,13.3,전라북도
2007,대구,15,대구광역시
2007,전주,14,전라북도
2007,울산,15,울산광역시
2007,창원,14.8,경상남도
2007,광주,14.6,광주광역시
2007,부산,15.3,부산광역시
2007,통영,15.4,경상남도
2007,목포,14.5,전라남도
