,시점,관측지점별,평균기온 (℃),평균최고기온 (℃),평균최저기온 (℃),최고기온 (℃),최저기온 (℃),합계강수량 (mm),평균지면온도 (℃),대분류
71,2002,밀양,13.3,19.7,7.6,34.9,-11.3,1531.5,15.1,경상남도
72,2002,산청,12.9,19.2,7.7,34.6,-8.3,2007.1,15.1,경상남도
73,2002,거제,13.9,18.7,9.5,33.0,-6.6,2678.5,14.0,경상남도
74,2002,남해,13.9,19.0,9.5,34.7,-5.8,2291.5,16.0,경상남도
75,2003,속초,11.7,15.7,8.0,33.2,-14.8,1899.0,12.9,강원도
76,2003,철원,10.0,15.5,4.9,30.4,-24.6,1717.0,12.3,강원도
77,2003,동두천,11.1,17.3,6.1,33.0,-19.7,1853.5,13.5,경기도
78,2003,파주,10.9,16.9,5.6,32.4,-21.6,1718.1,12.0,경기도
79,2003,대관령,6.8,11.8,2.3,29.2,-22.6,2685.4,8.5,강원도
80,2003,춘천,11.3,17.3,6.4,33.3,-19.7,1865.8,13.4,강원도
81,2003,백령도,10.2,13.8,7.6,29.2,-12.5,865.4,11.6,인천광역시
82,2003,강릉,12.7,16.6,9.2,33.6,-13.9,2095.4,13.4,강원도
83,2003,동해,11.8,15.8,8.2,32.7,-13.6,1793.4,13.2,강원도
84,2003,서울,12.8,17.0,9.2,32.2,-15.5,2012.0,13.3,서울특별시
85,2003,인천,12.5,17.0,9.1,31.0,-14.1,1702.2,13.8,인천광역시
86,2003,원주,11.7,17.5,6.6,32.9,-20.0,1745.0,12.8,경상북도
87,2003,울릉도,12.0,15.6,9.5,30.5,-11.5,2236.9,13.3,경상북도
88,2003,수원,12.3,17.0,7.9,31.3,-16.2,1514.8,12.8,경기도
89,2003,영월,10.3,16.6,5.1,33.0,-20.4,1449.7,13.3,강원도
90,2003,충주,11.6,17.3,6.6,32.8,-18.5,1641.2,13.0,충청북도
91,2003,서산,12.0,17.5,7.1,32.9,-18.1,1433.4,13.0,충청남도
92,2003,울진,12.5,16.9,8.7,32.7,-12.7,1789.7,13.8,경상북도
93,2003,청주,12.7,17.6,8.2,32.0,-17.5,1581.8,13.4,충청북도
94,2003,대전,13.2,18.0,8.9,32.2,-14.5,1748.9,15.0,대전광역시
95,2003,추풍령,11.5,17.0,6.8,32.9,-14.0,1835.3,13.5,충청북도
96,2003,안동,11.6,17.4,6.6,32.4,-16.7,1579.3,13.3,경상북도
97,2003,상주,12.4,17.9,7.7,34.2,-13.0,1878.9,13.2,경상북도
98,2003,포항,14.0,18.1,10.6,35.3,-10.4,2098.1,15.6,경상북도
99,2003,군산,12.6,17.0,9.3,32.0,-12.8,1509.2,14.0,전라북도
100,2003,대구,13.8,18.5,9.6,34.7,-10.9,1749.9,14.5,대구광역시
101,2003,전주,13.4,18.5,9.0,33.7,-15.1,1860.3,14.6,전라북도
102,2003,울산,14.3,19.1,10.3,35.4,-9.9,1864.2,15.9,울산광역시
103,2003,창원,14.8,19.0,11.5,33.7,-9.0,2036.2,15.1,경상남도
104,2003,광주,13.6,18.4,9.5,31.9,-10.3,1994.1,15.0,광주광역시
105,2003,부산,14.3,18.5,11.2,31.0,-8.7,2328.3,15.6,부산광역시
106,2003,통영,15.0,19.6,11.5,32.4,-8.7,1945.0,15.8,경상남도
107,2003,목포,13.8,17.7,10.6,32.0,-9.3,1686.0,15.5,전라남도
108,2003,여수,14.5,17.8,11.9,30.4,-7.2,2176.4,15.4,전라남도
109,2003,흑산도,13.1,15.7,11.0,30.8,-5.7,1402.4,14.6,전라남도
110,2003,완도,13.9,18.3,10.2,32.3,-8.1,2220.9,14.6,전라남도
111,2003,진도(첨찰산),11.6,15.8,8.7,30.3,-9.4,2187.7,13.6,전라남도
112,2003,제주,15.7,19.1,13.0,34.3,-2.1,1999.2,17.4,제주도
113,2003,고산,15.3,18.2,12.8,31.6,-2.6,1503.0,17.9,제주도
114,2003,성산,16.5,20.0,13.2,33.7,-1.7,2550.5,17.0,제주도
115,2003,서귀포,17.4,20.9,14.4,33.6,-2.4,2280.1,17.5,제주도
116,2003,진주,13.2,19.4,7.9,33.5,-13.1,2151.2,14.5,경상남도
117,2003,강화,11.1,16.1,6.6,31.2,-17.3,1643.0,12.6,인천광역시
118,2003,양평,11.7,17.5,6.9,33.4,-20.2,1825.8,12.6,경기도
119,2003,이천,11.5,17.4,6.4,32.0,-20.2,1715.2,13.4,경기도
120,2003,인제,10.1,16.2,5.1,33.0,-22.0,1706.9,11.8,강원도
121,2003,홍천,10.4,17.0,5.3,33.0,-22.5,1975.2,13.2,강원도
122,2003,태백,8.7,14.0,4.0,29.7,-19.8,1753.0,10.5,강원도
123,2003,제천,10.5,16.6,5.0,32.7,-20.5,1876.6,12.0,충청북도
124,2003,보은,11.2,17.1,6.2,32.7,-18.7,2079.2,12.7,충청북도
125,2003,천안,11.6,17.2,6.6,32.0,-23.8,1628.3,12.8,충청남도
126,2003,보령,12.8,17.3,8.8,31.2,-12.1,1343.7,13.8,충청남도
127,2003,부여,11.8,17.9,6.9,32.5,-17.3,1780.0,14.2,충청남도
128,2003,금산,11.7,18.0,6.4,33.3,-18.2,1766.4,17.4,충청남도
129,2003,부안,12.8,17.9,8.5,34.7,-16.7,1850.0,14.3,전라북도
130,2003,임실,11.5,17.8,6.1,32.8,-21.8,1974.2,13.6,전라북도
131,2003,정읍,12.9,18.2,8.4,33.7,-14.1,1870.0,14.5,전라북도
132,2003,남원,12.5,18.9,7.2,34.4,-19.3,2050.1,14.5,전라북도
133,2003,장수,10.5,16.5,5.2,30.6,-21.3,2208.1,13.2,전라북도
134,2003,장흥,12.9,18.2,8.1,32.0,-11.1,1800.3,14.9,전라남도
135,2003,해남,13.5,18.6,8.8,31.8,-14.1,1739.5,15.5,전라남도
136,2003,고흥,13.2,18.3,8.5,31.3,-10.5,2077.0,14.0,전라남도
137,2003,봉화,9.2,15.9,3.4,31.2,-21.0,1736.0,12.1,경상북도
138,2003,영주,11.3,17.0,6.1,34.2,-16.7,2018.9,13.1,경상북도
139,2003,문경,11.0,16.4,6.3,32.4,-16.0,1962.6,13.1,경상북도
140,2003,영덕,12.0,16.5,8.1,32.7,-11.8,1841.2,14.1,경상북도
141,2003,의성,10.9,17.8,5.2,34.2,-19.1,1696.5,13.2,경상북도
142,2003,구미,12.8,18.5,7.9,34.5,-11.8,1749.8,14.2,경상북도
143,2003,영천,12.3,18.3,7.1,34.5,-14.5,1724.0,13.7,경상북도
144,2003,거창,11.6,18.3,6.2,34.0,-15.6,1950.8,13.2,경상남도
145,2003,합천,13.2,19.7,8.1,34.4,-12.6,1862.7,15.2,경상남도
146,2003,밀양,13.3,19.5,8.2,35.4,-12.1,1685.3,14.5,경상남도
147,2003,산청,12.8,18.8,8.0,33.3,-11.0,1934.8,15.1,경상남도
148,2003,거제,13.7,18.4,9.7,31.7,-9.3,2713.6,14.2,경상남도
149,2003,남해,14.0,18.9,9.9,34.9,-9.8,2729.5,15.6,경상남도
150,2004,속초,13.2,17.6,9.1,37.1,-15.6,1587.3,14.3,강원도
151,2004,철원,10.3,16.4,4.7,33.4,-20.4,1249.6,12.6,강원도
152,2004,동두천,11.2,17.8,5.8,35.6,-19.6,1534.5,13.2,경기도
153,2004,파주,11.0,17.4,5.6,34.6,-19.8,1397.8,12.8,경기도
154,2004,대관령,7.8,13.3,3.0,31.3,-24.3,1815.5,10.0,강원도
155,2004,춘천,11.9,18.2,6.6,36.0,-17.5,1404.0,13.4,강원도
156,2004,백령도,11.7,15.3,8.9,32.3,-17.4,847.9,13.4,인천광역시
157,2004,강릉,14.1,18.4,10.2,36.2,-15.6,1604.3,15.4,강원도
158,2004,동해,13.3,18.0,9.3,36.0,-13.7,1427.2,14.7,강원도
159,2004,서울,13.3,17.7,9.5,36.2,-16.7,1499.1,14.4,서울특별시
160,2004,인천,12.9,17.8,9.2,33.9,-14.8,1307.5,14.9,인천광역시
161,2004,원주,12.6,19.0,7.2,36.2,-17.7,1425.3,13.8,경상북도
162,2004,울릉도,13.1,16.7,10.4,32.2,-11.1,1955.3,13.5,경상북도
163,2004,수원,12.8,18.0,8.3,35.1,-15.9,1217.0,13.4,경기도
164,2004,영월,11.1,18.0,5.3,36.9,-18.7,1339.5,14.0,강원도
165,2004,충주,12.4,18.9,6.9,36.3,-15.8,1425.2,13.8,충청북도
166,2004,서산,12.6,18.5,7.4,37.1,-13.3,1340.9,14.0,충청남도
167,2004,울진,13.5,18.3,9.3,35.3,-12.7,1278.9,14.8,경상북도
168,2004,청주,13.4,19.0,8.4,34.6,-15.5,1505.9,14.3,충청북도
169,2004,대전,13.9,19.3,9.1,34.8,-14.3,1496.5,14.9,대전광역시
170,2004,추풍령,12.3,18.5,6.9,35.2,-15.6,1444.2,13.9,충청북도
171,2004,안동,12.1,18.7,6.5,35.7,-15.9,1305.0,14.4,경상북도
172,2004,상주,13.0,19.2,7.8,36.3,-14.2,1284.8,14.0,경상북도
173,2004,포항,15.1,19.7,11.2,37.6,-11.7,1403.0,17.3,경상북도
174,2004,군산,13.1,18.2,8.9,35.1,-14.7,1431.7,15.6,전라북도
175,2004,대구,14.8,20.3,10.2,36.9,-11.8,1222.4,16.3,대구광역시
176,2004,전주,14.2,20.0,9.1,36.5,-13.1,1457.9,15.3,전라북도
177,2004,울산,15.2,20.5,10.7,36.3,-10.6,1250.1,16.6,울산광역시
178,2004,창원,15.7,20.2,12.0,37.0,-9.4,1827.0,15.9,경상남도
179,2004,광주,14.3,19.8,9.8,35.2,-11.7,1742.3,16.3,광주광역시
180,2004,부산,14.9,19.3,11.5,34.1,-10.5,1386.5,16.0,부산광역시
181,2004,통영,15.3,20.0,11.5,36.3,-9.6,1388.3,17.2,경상남도
182,2004,목포,14.0,18.5,10.4,34.6,-7.8,1483.3,15.6,전라남도
183,2004,여수,15.0,18.7,12.0,34.2,-10.0,1433.5,16.1,전라남도
184,2004,흑산도,13.5,16.5,11.3,32.2,-6.3,1028.1,16.6,전라남도
185,2004,완도,14.7,19.8,10.6,36.3,-7.2,1866.7,15.9,전라남도
186,2004,진도(첨찰산),12.1,17.2,8.9,33.6,-10.1,1595.1,14.3,전라남도
187,2004,제주,16.4,20.0,13.4,34.3,-3.2,1333.8,18.3,제주도
188,2004,고산,16.1,19.3,13.4,33.5,-4.5,1269.9,18.6,제주도
189,2004,성산,15.8,19.8,11.9,35.0,-4.8,1962.5,18.4,제주도
190,2004,서귀포,17.8,21.5,14.7,35.6,-3.3,2018.0,18.5,제주도
191,2004,진주,14.0,20.8,7.9,37.3,-13.3,1575.0,15.5,경상남도
192,2004,강화,11.4,16.6,6.7,34.2,-17.6,1370.2,12.9,인천광역시
193,2004,양평,11.8,18.1,6.5,35.4,-17.7,1347.8,14.0,경기도
194,2004,이천,12.0,18.4,6.4,35.9,-18.0,1177.4,14.6,경기도
195,2004,인제,10.7,17.2,5.4,35.5,-18.3,1350.2,11.8,강원도
196,2004,홍천,10.9,17.9,5.4,36.2,-20.3,1557.0,13.7,강원도
197,2004,태백,9.6,15.1,4.5,32.5,-20.2,1368.2,12.4,강원도
198,2004,제천,10.7,17.5,4.8,35.0,-19.0,1630.8,13.1,충청북도
199,2004,보은,11.6,18.3,5.9,34.5,-15.5,1365.4,14.1,충청북도
200,2004,천안,12.3,18.6,6.7,36.7,-16.6,1363.3,14.3,충청남도
201,2004,보령,12.9,17.9,8.5,34.2,-12.8,1216.2,15.0,충청남도
202,2004,부여,12.7,19.3,7.2,36.2,-17.6,1493.9,14.5,충청남도
203,2004,금산,12.1,19.2,6.2,35.2,-16.7,1503.5,14.3,충청남도
204,2004,부안,13.2,18.6,8.5,35.2,-15.6,1390.7,16.0,전라북도
205,2004,임실,11.8,18.9,5.8,34.7,-16.7,1274.1,14.2,전라북도
206,2004,정읍,13.6,19.4,8.7,35.4,-12.3,1282.0,15.3,전라북도
207,2004,남원,12.4,19.5,6.4,35.2,-15.3,1538.9,15.7,전라북도
208,2004,장수,10.9,17.6,5.1,33.2,-16.5,1398.3,13.6,전라북도
209,2004,장흥,13.3,19.4,7.8,35.4,-12.5,1963.3,16.0,전라남도
210,2004,해남,13.9,19.7,8.4,35.5,-13.3,1593.7,16.2,전라남도
211,2004,고흥,13.9,19.6,8.6,35.7,-9.8,1558.0,15.2,전라남도
212,2004,봉화,9.9,17.3,3.5,33.7,-18.7,1354.8,13.1,경상북도
213,2004,영주,12.0,18.2,6.1,37.2,-16.7,1383.5,13.6,경상북도
214,2004,문경,12.0,18.0,6.6,34.5,-15.6,1505.3,14.9,경상북도
215,2004,영덕,13.6,18.8,8.8,36.2,-13.3,1272.9,16.2,경상북도
216,2004,의성,11.8,19.5,5.4,35.9,-16.2,1475.0,13.2,경상북도
217,2004,구미,13.6,20.0,8.2,37.0,-12.6,1286.9,15.7,경상북도
218,2004,영천,13.2,20.0,7.1,37.2,-13.6,1116.9,14.9,경상북도
219,2004,거창,12.3,19.8,6.0,35.7,-14.0,1547.8,13.8,경상남도
220,2004,합천,14.0,21.2,8.1,37.9,-12.3,1477.4,15.8,경상남도
221,2004,밀양,14.4,21.7,8.2,38.5,-14.8,1377.4,15.8,경상남도
222,2004,산청,13.3,20.1,7.8,37.2,-11.6,1886.4,15.6,경상남도
223,2004,거제,14.6,19.6,10.1,34.7,-10.1,1838.4,15.5,경상남도
224,2004,남해,15.2,20.7,10.6,37.2,-9.5,1730.5,16.6,경상남도
225,2005,속초,12.0,16.1,8.1,36.0,-13.1,1349.2,11.3,강원도
226,2005,철원,9.3,15.4,3.7,33.8,-20.1,1323.2,12.0,강원도
227,2005,동두천,10.3,16.9,5.1,34.8,-18.0,1378.2,12.8,경기도
228,2005,파주,10.3,16.5,4.8,34.4,-20.1,1171.7,12.7,경기도
229,2005,대관령,6.6,11.9,1.9,32.3,-21.0,1881.1,8.9,강원도
230,2005,춘천,11.0,17.2,5.8,35.6,-17.4,1334.2,13.2,강원도
231,2005,백령도,10.8,14.3,8.2,31.5,-11.3,788.9,11.8,인천광역시
232,2005,강릉,12.9,17.2,9.1,36.5,-12.5,1653.4,13.8,강원도
233,2005,동해,12.1,16.5,8.2,35.9,-12.1,1432.8,13.8,강원도
234,2005,서울,12.1,16.4,8.4,35.0,-14.0,1358.4,13.4,서울특별시
235,2005,인천,12.0,17.1,8.3,33.8,-13.5,1155.8,13.6,인천광역시
236,2005,원주,11.5,17.4,6.3,35.9,-17.7,1571.0,13.0,경상북도
237,2005,울릉도,12.2,15.6,9.6,32.3,-9.1,1511.6,13.6,경상북도
238,2005,수원,12.0,16.9,7.7,35.1,-14.4,1427.7,12.9,경기도
239,2005,영월,10.4,17.0,4.8,37.2,-19.5,1252.1,12.7,강원도
240,2005,충주,11.2,17.2,5.9,35.3,-17.3,1380.9,12.6,충청북도
241,2005,서산,11.5,17.0,6.7,35.2,-15.9,1334.2,13.4,충청남도
242,2005,울진,12.4,17.1,8.3,35.6,-10.7,1204.1,14.1,경상북도
243,2005,청주,12.5,17.8,7.8,34.0,-15.0,1427.2,13.4,충청북도
244,2005,대전,12.4,17.5,7.8,34.3,-15.7,1656.1,14.3,대전광역시
245,2005,추풍령,11.4,17.1,6.4,35.8,-14.2,1008.4,13.5,충청북도
246,2005,안동,11.3,17.4,5.9,34.6,-15.8,881.7,14.0,경상북도
247,2005,상주,12.2,18.1,7.3,35.3,-13.6,1102.1,14.0,경상북도
248,2005,포항,14.0,18.6,10.2,37.7,-11.6,1180.2,15.8,경상북도
249,2005,군산,12.5,17.3,8.4,35.7,-14.5,1508.5,14.6,전라북도
250,2005,대구,14.2,19.5,9.8,36.2,-11.1,834.3,15.5,대구광역시
251,2005,전주,13.3,18.7,8.6,35.8,-15.0,1390.0,14.9,전라북도
252,2005,울산,14.3,19.4,10.0,35.5,-10.4,1135.7,15.3,울산광역시
253,2005,창원,14.0,18.5,10.4,34.3,-10.1,1490.1,14.5,경상남도
254,2005,광주,13.6,18.7,9.4,35.8,-11.1,1289.6,15.7,광주광역시
255,2005,부산,13.8,18.1,10.5,32.8,-10.6,1383.9,14.7,부산광역시
256,2005,통영,13.7,18.0,10.2,32.7,-8.4,1268.7,15.8,경상남도
257,2005,목포,13.5,17.7,10.0,33.3,-9.9,1002.7,15.3,전라남도
258,2005,여수,13.7,17.3,10.9,32.4,-9.3,1220.0,14.7,전라남도
259,2005,흑산도,12.8,15.7,10.6,30.6,-5.3,705.6,15.5,전라남도
260,2005,완도,13.9,18.6,10.2,35.2,-9.1,1091.6,15.4,전라남도
261,2005,진도(첨찰산),11.2,16.1,8.1,31.5,-11.3,1099.4,13.5,전라남도
262,2005,제주,16.2,19.3,13.5,34.7,-1.5,872.5,18.7,제주도
263,2005,고산,15.4,18.4,12.9,32.6,-2.0,827.5,17.3,제주도
264,2005,성산,15.3,19.2,11.7,34.7,-3.4,1588.0,16.0,제주도
265,2005,서귀포,16.2,19.7,13.2,31.7,-2.9,1390.6,18.9,제주도
266,2005,진주,13.3,19.8,7.6,36.7,-13.9,1113.7,15.0,경상남도
267,2005,강화,10.7,15.8,6.2,35.7,-15.8,1175.6,12.0,인천광역시
268,2005,양평,11.3,17.2,6.3,35.2,-17.1,1732.6,13.5,경기도
269,2005,이천,11.6,17.7,6.2,35.7,-17.5,1303.3,13.2,경기도
270,2005,인제,10.0,16.2,4.6,36.5,-18.7,1168.3,11.1,강원도
271,2005,홍천,10.3,17.0,4.8,35.9,-19.3,1797.8,12.5,강원도
272,2005,태백,8.6,13.9,3.8,35.0,-18.0,1226.3,10.2,강원도
273,2005,제천,10.1,16.6,4.3,34.5,-18.3,1525.2,12.4,충청북도
274,2005,보은,10.7,17.3,5.1,34.7,-18.7,1536.3,12.8,충청북도
275,2005,천안,11.8,17.7,6.4,36.2,-17.8,1309.3,13.3,충청남도
276,2005,보령,12.2,17.0,8.1,34.9,-14.8,1266.5,14.1,충청남도
277,2005,부여,11.9,18.2,6.6,35.0,-17.6,1527.0,14.5,충청남도
278,2005,금산,11.5,18.1,5.9,34.9,-19.7,1375.0,13.4,충청남도
279,2005,부안,12.2,17.3,7.6,35.5,-17.2,1420.0,14.8,전라북도
280,2005,임실,10.9,17.5,5.2,35.4,-21.8,1418.4,13.7,전라북도
281,2005,정읍,12.8,18.3,8.2,35.5,-14.8,1536.9,14.8,전라북도
282,2005,남원,12.0,18.8,6.1,37.0,-19.3,1126.2,15.9,전라북도
283,2005,장수,10.2,16.3,4.6,33.4,-23.2,1431.6,13.1,전라북도
284,2005,장흥,12.8,18.7,7.7,34.0,-10.8,1422.0,15.3,전라남도
285,2005,해남,13.3,18.8,8.3,34.7,-12.1,1216.3,16.4,전라남도
286,2005,고흥,13.2,18.4,8.5,33.5,-10.6,1337.1,14.9,전라남도
287,2005,봉화,9.4,16.4,3.1,33.5,-20.3,1130.3,12.3,경상북도
288,2005,영주,11.4,17.0,6.0,34.7,-16.3,1303.3,12.9,경상북도
289,2005,문경,11.1,16.9,6.0,34.5,-15.6,1519.2,13.9,경상북도
290,2005,영덕,12.6,17.7,8.0,36.9,-11.8,1204.0,15.0,경상북도
291,2005,의성,11.1,18.4,4.6,35.4,-19.0,848.5,12.8,경상북도
292,2005,구미,12.6,18.7,7.3,35.5,-13.0,1011.2,15.1,경상북도
293,2005,영천,12.5,19.0,6.7,37.0,-14.5,772.8,14.6,경상북도
294,2005,거창,12.2,19.1,6.2,37.0,-14.8,1244.9,14.6,경상남도
295,2005,합천,13.5,20.4,7.7,37.0,-14.8,1119.6,14.9,경상남도
296,2005,밀양,13.2,20.2,7.2,36.2,-14.5,971.5,15.0,경상남도
297,2005,산청,12.6,18.7,7.6,36.7,-11.6,1313.2,14.7,경상남도
298,2005,거제,14.1,18.8,9.9,34.7,-8.1,1446.6,14.8,경상남도
299,2005,남해,13.6,18.6,9.4,34.0,-11.6,1617.0,17.0,경상남도
300,2006,속초,11.9,16.0,8.3,33.0,-11.9,1609.2,12.6,강원도
301,2006,철원,10.4,16.5,5.0,33.9,-19.3,1298.0,12.7,강원도
302,2006,동두천,11.2,17.8,6.1,34.8,-17.5,1360.1,13.5,경기도
303,2006,파주,11.3,17.4,6.1,34.9,-17.6,1284.6,13.8,경기도
304,2006,대관령,6.9,12.1,2.4,30.6,-23.5,2112.9,8.9,강원도
305,2006,춘천,11.5,17.5,6.7,35.5,-16.6,1659.4,13.9,강원도
306,2006,백령도,11.2,14.8,8.4,32.1,-15.3,577.1,12.5,인천광역시
307,2006,강릉,13.1,17.3,9.5,35.2,-9.5,1852.7,14.0,강원도
308,2006,동해,12.4,16.7,8.6,33.3,-10.7,1967.1,13.7,강원도
309,2006,서울,13.0,17.2,9.3,34.7,-14.1,1681.9,14.0,서울특별시
310,2006,인천,12.7,16.6,9.4,32.5,-13.3,1300.1,14.4,인천광역시
311,2006,원주,12.2,18.1,7.2,36.4,-16.0,1560.5,12.9,경상북도
312,2006,울릉도,12.2,15.4,9.6,31.7,-8.3,1914.5,13.7,경상북도
313,2006,수원,12.9,18.0,8.7,35.9,-13.2,1362.7,14.2,경기도
314,2006,영월,11.2,17.7,5.7,36.8,-18.5,1304.2,13.9,강원도
315,2006,충주,11.5,17.5,6.4,35.0,-17.3,1233.9,13.0,충청북도
316,2006,서산,12.2,17.0,7.7,33.0,-13.6,1139.2,14.2,충청남도
317,2006,울진,12.7,17.2,8.7,33.1,-8.9,1692.9,14.1,경상북도
318,2006,청주,13.3,18.5,8.6,34.2,-13.3,1081.1,14.0,충청북도
319,2006,대전,13.1,18.3,8.5,34.2,-13.5,1195.2,14.7,대전광역시
